abseil-cpp 20260107.1-1
acl 2.3.2-2
acpi 1.8-2
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.6.3-1
alsa-lib 1.2.15.3-2
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
android-tools 35.0.2-25
android-udev 20250525-1
aom 3.13.3-1
appstream 1.1.2-1
aquamarine 0.10.0-4
archlinux-keyring 20260409-1
at-spi2-core 2.60.1-1
atkmm 2.28.4-2
attica 6.25.0-1
attr 2.5.2-2
audit 4.1.4-2
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc4-1
baloo 6.25.0-1
baloo-widgets 26.04.0-1
base 3-3
base-devel 1-2
bash 5.3.9-1
binutils 2.46-1
bison 3.8.2-8
bluez-libs 5.86-5
boost-libs 1.90.0-4
breeze-icons 6.25.0-1
brightnessctl 0.5.1-3
brotli 1.2.0-1
btrfs-progs 6.19.1-1
bubblewrap 0.11.1-1
burpsuite 2026.3.2-1
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.123-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-3
cairomm-1.16 1.18.0-2
cifs-utils 7.5-1
cmake 4.3.1-1
convertlit 1.8-13
coreutils 9.10-1
cppdap 1.58.0-3
cpupower 7.0-3
cryptsetup 2.8.6-1
curl 8.19.0-1
dav1d 1.5.3-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-glib 0.114-1
dbus-units 37-3
dconf 0.49.0-1
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.39-1
diffutils 3.12-2
dolphin 26.04.0-1
double-conversion 3.4.0-1
duktape 2.7.0-7
e2fsprogs 1.47.4-1
ebook-tools 0.2.2-9
efibootmgr 18-3
efivar 39-1
exiv2 0.28.8-2
expat 2.7.5-1
fakeroot 1.37.2-1
fastfetch 2.61.0-1
fd 10.4.2-1
ffmpeg 2:8.1-3
fftw 3.3.10-8
file 5.47-3
filesystem 2025.10.12-1
findutils 4.10.0-3
firefox 149.0.2-1
firefox-i18n-th 149.0.2-1
flac 1.5.0-1
flex 2.6.4-6
fmt 12.1.0-2
fontconfig 2:2.17.1-1
freetype2 2.14.3-1
fribidi 1.0.16-2
fuse-common 3.18.2-1
fuse3 3.18.2-1
fzf 0.71.0-1
gawk 5.4.0-1
gc 8.2.12-1
gcc 15.2.1+r604+g0b99615a8aef-1
gcc-libs 15.2.1+r604+g0b99615a8aef-1
gdb 17.1-3
gdb-common 17.1-3
gdbm 1.26-2
gdk-pixbuf2 2.44.6-2
gettext 1.0-2
giflib 6.1.3-1
git 2.53.0-1
glab 1.92.1-1
glib-networking 1:2.80.1-1
glib2 2.88.0-1
glibc 2.43+r5+g856c426a7534-1
glibmm 2.66.8-1
glibmm-2.68 2.88.0-1
glslang 1:1.4.341.0-2
glu 9.0.3-3
glycin 2.1.1-1
gmp 6.3.0-3
gnu-free-fonts 20120503-9
gnulib-l10n 20241231-1
gnupg 2.4.9-1
gnutls 3.8.12-2
go 2:1.26.2-1
gobuster 3.8.2-1
google-chrome 147.0.7727.101-1
gperftools 2.18.1-1
gpgme 2.0.1-3
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.27.5-1
graphene 1.10.8-2
graphite 1:1.3.14-6
grep 3.12-2
grim 1.5.0-2
groff 1.24.1-1
grub 2:2.14-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsm 1.0.24-1
gssdp 1.6.4-1
gst-plugins-bad-libs 1.28.2-1
gst-plugins-base-libs 1.28.2-1
gstreamer 1.28.2-1
gtest 1.17.0-2
gtk-layer-shell 0.10.1-1
gtk-update-icon-cache 1:4.22.2-1
gtk3 1:3.24.52-1
gtk4 1:4.22.2-1
gtkmm-4.0 4.22.0-1
gtkmm3 3.24.10-1
gucharmap 17.0.2-1
guile 3.0.11-1
gupnp 1:1.6.9-1
gupnp-igd 1.6.0-2
gzip 1.14-2
harfbuzz 14.1.0-1
hdparm 9.65-3
helvum 0.5.1-1
